,ticker,type,date,quantity,price,nominal,real,cumulative nominal,cumulative real
11,ADP,gift,1994-04-15,25.0,10.05,251,6280,251.0,6280.0
12,ADP,gift,1994-04-15,105.0,10.05,1055,26379,1306.0,32659.0
38,SYK,gift,2000-05-11,114.0,18.46,2104,32190,3410.0,64849.0
31,MSFT,gift,2003-05-08,100.0,25.84,2584,32206,5994.0,97055.0
39,SYK,gift,2006-05-15,36.0,43.5,1566,10165,7560.0,107220.0
48,NSRGY,gift,2006-10-25,54.0,33.6,1814,6438,9374.0,113658.0
49,NSRGY,gift,2006-12-15,32.0,36.1,1155,3815,10529.0,117473.0
50,NSRGY,gift,2007-05-11,14.0,39.46,552,1669,11081.0,119142.0
51,HKHHF,gift,2007-08-06,30.0,53.87,1616,2420,12697.0,121562.0
46,CNI,gift,2008-07-10,36.0,18.24,656,4214,13353.0,125776.0
45,CNI,gift,2008-07-10,71.0,23.8,1689,8312,15042.0,134088.0
52,HKHHF,gift,2009-01-02,180.0,29.05,5229,14520,20271.0,148608.0
24,FI,gift,2010-02-12,154.0,11.52,1774,19334,22045.0,167942.0
25,FI,gift,2010-05-14,101.0,12.42,1254,12680,23299.0,180622.0
0,ABT,gift,2010-05-14,65.0,23.03,1496,6832,24795.0,187454.0
28,MA,gift,2011-01-20,150.0,23.11,3466,59289,28261.0,246743.0
23,ECL,gift,2011-04-15,50.0,50.96,2548,9211,30809.0,255954.0
40,TJX,gift,2011-04-15,320.0,12.85,4112,27552,34921.0,283506.0
53,HKHHF,gift,2011-04-18,40.0,50.75,2030,3226,36951.0,286732.0
54,NXPI,gift,2011-06-22,70.0,23.54,1647,14712,38598.0,301444.0
16,DHR,gift,2011-09-08,82.0,32.92,2699,21015,41297.0,322459.0
17,DHR,gift,2011-09-08,43.0,32.92,1415,11020,42712.0,333479.0
41,TJX,gift,2011-09-08,49.0,13.28,650,4218,43362.0,337697.0
29,MA,gift,2012-01-10,30.0,34.88,1046,11857,44408.0,349554.0
30,MA,gift,2012-01-10,11.0,34.93,384,4347,44792.0,353901.0
18,DHR,gift,2012-07-30,55.0,39.89,2193,14095,46985.0,367996.0
20,EOG,gift,2012-07-30,60.0,49.59,2975,7884,49960.0,375880.0
15,CHD,gift,2012-10-19,140.0,26.65,3731,13420,53691.0,389300.0
19,DHR,gift,2012-10-19,50.0,40.0,2000,12814,55691.0,402114.0
26,INTU,gift,2012-10-19,100.0,60.86,6086,49865,61777.0,451979.0
1,ABT,gift,2013-03-15,60.0,34.51,2070,6307,63847.0,458286.0
47,CNI,gift,2013-07-18,25.0,50.97,1274,2927,65121.0,461213.0
43,WEX,gift,2013-07-18,50.0,84.68,4234,9685,69355.0,470898.0
42,UNP,gift,2014-06-23,50.0,100.63,5031,11484,74386.0,482382.0
27,INTU,gift,2014-06-23,16.0,79.54,1272,7978,75658.0,490360.0
37,SBUX,gift,2014-06-23,175.0,38.4,6720,17650,82378.0,508010.0
7,AMT,gift,2014-10-10,50.0,95.74,4787,9352,87165.0,517362.0
21,EOG,gift,2015-01-13,40.0,85.58,3423,5256,90588.0,522618.0
8,AMT,gift,2015-03-12,40.0,96.05,3842,7482,94430.0,530100.0
9,AMT,gift,2015-10-20,20.0,96.97,1939,3741,96369.0,533841.0
2,ABT,gift,2015-10-20,125.0,42.06,5257,13140,101626.0,546981.0
10,AMT,gift,2015-11-12,22.0,97.65,2148,4115,103774.0,551096.0
33,PAYC,gift,2016-05-11,80.0,39.44,3155,23210,106929.0,574306.0
4,GOOGL,gift,2017-02-14,10.0,840.43,8404,1296,115333.0,575602.0
44,WEX,gift,2017-05-03,20.0,98.98,1979,3874,117312.0,579476.0
22,EOG,gift,2017-06-16,100.0,88.47,8847,13140,126159.0,592616.0
13,BDX,gift,2018-03-15,20.0,224.72,4494,5607,130653.0,598223.0
14,BDX,gift,2018-04-26,20.0,232.86,4657,5607,135310.0,603830.0
32,MSFT,gift,2018-06-15,50.0,101.16,5058,16103,140368.0,619933.0
5,AMZN,gift,2019-04-12,5.0,1848.35,9241,691,149609.0,620624.0
35,CRM,gift,2020-01-14,55.0,182.58,10041,11418,159650.0,632042.0
6,AMZN,gift,2020-01-14,3.0,1865.99,5597,414,165247.0,632456.0
34,ROP,gift,2020-01-14,25.0,372.29,9307,12213,174554.0,644669.0
3,ADBE,gift,2020-01-14,30.0,345.97,10379,15380,184933.0,660049.0
55,CASH,Dividend,2020-06-11,76.5,1.0,76,3833,185009.0,663882.0
36,NOW,gift,2020-06-11,15.0,375.67,5635,8313,190644.0,672195.0
58,CASH,Tax Prep Fees,2020-06-17,-2.0,1.0,-2,-100,190642.0,672095.0
56,CASH,Dividend,2020-06-17,276.99,1.0,276,13879,190918.0,685974.0
57,CASH,foreign tax withheld,2020-06-17,-96.95,1.0,-96,-4858,190822.0,681116.0
59,CASH,Dividend,2020-06-30,48.5,1.0,48,2430,190870.0,683546.0
60,CASH,Dividend,2020-06-30,31.6,1.0,31,1583,190901.0,685129.0
61,CASH,Dividend,2020-07-02,118.3,1.0,118,5928,191019.0,691057.0
62,CASH,Dividend,2020-07-06,55.73,1.0,55,2792,191074.0,693849.0
63,CASH,foreign tax withheld,2020-07-06,-13.93,1.0,-13,-698,191061.0,693151.0
64,CASH,Dividend,2020-07-07,26.25,1.0,26,1315,191087.0,694466.0
65,CASH,foreign tax withheld,2020-07-07,-3.94,1.0,-3,-197,191084.0,694269.0
66,CASH,Dividend,2020-07-13,145.2,1.0,145,7275,191229.0,701544.0
67,CASH,Dividend,2020-07-15,23.5,1.0,23,1177,191252.0,702721.0
68,CASH,tax paid,2020-07-15,-1815.0,1.0,-1815,-90949,189437.0,611772.0
69,CASH,tax paid,2020-07-15,-1380.0,1.0,-1380,-69151,188057.0,542621.0
70,CASH,Dividend,2020-07-20,61.48,1.0,61,3080,188118.0,545701.0
71,CASH,Dividend,2020-07-22,12.81,1.0,12,641,188130.0,546342.0
72,CASH,Tax Prep Fees,2020-07-24,-175.0,1.0,-175,-8769,187955.0,537573.0
74,CASH,Dividend,2020-08-03,75.0,1.0,75,3758,188030.0,541331.0
75,CASH,Dividend,2020-08-03,86.25,1.0,86,4321,188116.0,545652.0
73,CASH,Dividend,2020-08-03,41.4,1.0,41,2074,188157.0,547726.0
76,CASH,Dividend,2020-08-10,76.4,1.0,76,3828,188233.0,551554.0
77,CASH,Dividend,2020-08-17,90.0,1.0,90,4509,188323.0,556063.0
78,CASH,Dividend,2020-08-21,71.75,1.0,71,3595,188394.0,559658.0
79,CASH,Dividend,2020-09-01,33.6,1.0,33,1683,188427.0,561341.0
80,CASH,Dividend,2020-09-10,76.5,1.0,76,3833,188503.0,565174.0
81,CASH,Dividend,2020-09-30,48.5,1.0,48,2430,188551.0,567604.0
82,CASH,Dividend,2020-09-30,31.6,1.0,31,1583,188582.0,569187.0
83,CASH,Dividend,2020-10-02,118.3,1.0,118,5928,188700.0,575115.0
84,CASH,Dividend,2020-10-06,26.25,1.0,26,1315,188726.0,576430.0
85,CASH,foreign tax withheld,2020-10-06,-3.94,1.0,-3,-197,188723.0,576233.0
87,CASH,foreign tax withheld,2020-10-08,-8.54,1.0,-8,-427,188715.0,575806.0
86,CASH,Dividend,2020-10-08,56.96,1.0,56,2854,188771.0,578660.0
88,CASH,tax paid,2020-10-14,-1555.0,1.0,-1555,-77921,187216.0,500739.0
89,CASH,tax paid,2020-10-14,-2585.0,1.0,-2585,-129534,184631.0,371205.0
90,CASH,Dividend,2020-10-15,23.5,1.0,23,1177,184654.0,372382.0
91,CASH,Dividend,2020-10-16,150.48,1.0,150,7540,184804.0,379922.0
92,CASH,Dividend,2020-10-19,68.44,1.0,68,3429,184872.0,383351.0
93,CASH,Dividend,2020-10-20,12.81,1.0,12,641,184884.0,383992.0
94,CASH,Tax Prep Fees,2020-10-28,-1790.0,1.0,-1790,-89696,183094.0,294296.0
95,CASH,misc disbursement,2020-10-29,-445.76,1.0,-445,-22337,182649.0,271959.0
97,CASH,Dividend,2020-11-02,86.25,1.0,86,4321,182735.0,276280.0
96,CASH,Dividend,2020-11-02,41.4,1.0,41,2074,182776.0,278354.0
98,CASH,Dividend,2020-11-09,76.4,1.0,76,3828,182852.0,282182.0
99,CASH,Dividend,2020-11-16,90.0,1.0,90,4509,182942.0,286691.0
100,CASH,Dividend,2020-11-30,78.75,1.0,78,3946,183020.0,290637.0
101,CASH,Dividend,2020-12-02,33.6,1.0,33,1683,183053.0,292320.0
102,CASH,Dividend,2020-12-11,84.0,1.0,84,4209,183137.0,296529.0
103,CASH,Dividend,2020-12-30,48.5,1.0,48,2430,183185.0,298959.0
106,CASH,Dividend,2020-12-31,33.2,1.0,33,1663,183218.0,300622.0
118,CASH,Dividend,2020-12-31,159.72,1.0,159,8003,183377.0,308625.0
104,CASH,Dividend,2020-12-31,59.46,1.0,59,2979,183436.0,311604.0
105,CASH,foreign tax withheld,2020-12-31,-8.92,1.0,-8,-446,183428.0,311158.0
107,CASH,Dividend,2021-01-04,120.9,1.0,120,6058,183548.0,317216.0
108,CASH,Dividend,2021-01-06,26.25,1.0,26,1315,183574.0,318531.0
109,CASH,foreign tax withheld,2021-01-06,-3.94,1.0,-3,-197,183571.0,318334.0
110,CASH,Gift,2021-01-08,1867.24,1.0,1867,93567,185438.0,411901.0
111,CASH,Gift,2021-01-08,1545.43,1.0,1545,77441,186983.0,489342.0
112,CASH,Dividend,2021-01-15,24.0,1.0,24,1202,187007.0,490544.0
113,CASH,Dividend,2021-01-19,68.44,1.0,68,3429,187075.0,493973.0
