,ticker,type,date,quantity,price,nominal,real,cumulative nominal,cumulative real
11,ADP,gift,4/15/1994,25,10.05,251,6172,251,6172
12,ADP,gift,4/15/1994,105,10.05,1055,25922,1306,32094
38,SYK,gift,5/11/2000,114,18.46,2104,31881,3410,63975
31,MSFT,gift,5/8/2003,100,25.84,2584,32722,5994,96697
39,SYK,gift,5/15/2006,36,43.5,1566,10067,7560,106764
48,NSRGY,gift,10/25/2006,54,33.6,1814,6465,9374,113229
49,NSRGY,gift,12/15/2006,32,36.1,1155,3831,10529,117060
50,NSRGY,gift,5/11/2007,14,39.46,552,1676,11081,118736
51,HKHHF,gift,8/6/2007,30,53.87,1616,2397,12697,121133
46,CNI,gift,7/10/2008,36,18.24,656,4214,13353,125347
45,CNI,gift,7/10/2008,71,23.8,1689,8311,15042,133658
52,HKHHF,gift,1/2/2009,180,29.05,5229,14382,20271,148040
24,FI,gift,2/12/2010,154,11.52,1774,19250,22045,167290
25,FI,gift,5/14/2010,101,12.42,1254,12625,23299,179915
0,ABT,gift,5/14/2010,65,23.03,1496,6994,24795,186909
28,MA,gift,1/20/2011,150,23.11,3466,58827,28261,245736
23,ECL,gift,4/15/2011,50,50.96,2548,9100,30809,254836
40,TJX,gift,4/15/2011,320,12.85,4112,27433,34921,282269
53,HKHHF,gift,4/18/2011,40,50.75,2030,3196,36951,285465
54,NXPI,gift,6/22/2011,70,23.54,1647,15037,38598,300502
16,DHR,gift,9/8/2011,82,32.92,2699,21000,41297,321502
17,DHR,gift,9/8/2011,43,32.92,1415,11012,42712,332514
41,TJX,gift,9/8/2011,49,13.28,650,4200,43362,336714
29,MA,gift,1/10/2012,30,34.88,1046,11765,44408,348479
30,MA,gift,1/10/2012,11,34.93,384,4313,44792,352792
18,DHR,gift,7/30/2012,55,39.89,2193,14085,46985,366877
20,EOG,gift,7/30/2012,60,49.59,2975,7845,49960,374722
15,CHD,gift,10/19/2012,140,26.65,3731,13281,53691,388003
19,DHR,gift,10/19/2012,50,40,2000,12805,55691,400808
