Tax Lot Detail
As of Date:   04/01/2021
Position Type:    Traded

UNITPRICE,UNITS,UNITCOST,MARKETVALUE,ACQUIRED,TICKER,HOWACQUIRED
118.94,65,23.03,7731.1,05/14/2010,ABT,
118.94,60,34.51,7136.4,03/15/2013,ABT,PURCHASE
118.94,125,42.06,14867.5,10/20/2015,ABT,PURCHASE
483.34,30,345.97,14500.2,01/14/2020,ADBE,PURCHASE
2129.78,10,840.43,21297.8,02/14/2017,GOOGL,PURCHASE
3161,5,1848.35,15805,04/12/2019,AMZN,PURCHASE
3161,3,1865.99,9483,01/14/2020,AMZN,PURCHASE
240.06,50,95.74,12003,10/10/2014,AMT,PURCHASE
240.06,40,96.05,9602.4,03/12/2015,AMT,PURCHASE
240.06,20,96.97,4801.2,10/20/2015,AMT,PURCHASE
240.06,22,97.65,5281.32,11/12/2015,AMT,GIFT
189.4,25,10.05,4735,04/15/1994,ADP,
189.4,60,10.05,11364,04/15/1994,ADP,GIFT
86.53,140,26.65,12114.2,10/19/2012,CHD,PURCHASE
86.53,58,26.65,5018.74,10/19/2012,CHD,GIFT
225.08,82,32.92,18456.56,09/08/2011,DHR,GIFT
225.08,43,32.92,9678.44,09/08/2011,DHR,GIFT
225.08,55,39.89,12379.4,07/30/2012,DHR,PURCHASE
225.08,20,40.00,4501.6,10/19/2012,DHR,PURCHASE
216.85,50,50.96,10842.5,04/15/2011,ECL,PURCHASE
83.84,125,79.87,10480,11/11/2020,EW,PURCHASE
122.17,154,11.52,18814.18,02/12/2010,FI,GIFT
122.17,101,12.42,12339.17,05/14/2010,FI,
395.23,100,60.86,39523,10/19/2012,INTU,PURCHASE
395.23,6,79.54,2371.38,06/23/2014,INTU,GIFT
363.3,150,23.11,54495,01/20/2011,MA,PURCHASE
363.3,26,34.88,9445.8,01/10/2012,MA,GIFT
242.35,100,25.84,24235,05/08/2003,MSFT,
242.35,50,101.16,12117.5,06/15/2018,MSFT,PURCHASE
376.75,65,39.44,24488.75,05/11/2016,PAYC,PURCHASE
247.54,50,192.62,12377,11/11/2020,PYPL,PURCHASE
410.35,25,372.29,10258.75,01/14/2020,ROP,PURCHASE
218.72,55,182.58,12029.6,01/14/2020,CRM,PURCHASE
507.01,15,375.67,7605.15,06/11/2020,NOW,PURCHASE
507.01,10,498.97,5070.1,03/11/2021,NOW,PURCHASE
109.38,175,38.40,19141.5,06/23/2014,SBUX,PURCHASE
242.95,114,18.46,27696.3,05/11/2000,SYK,GIFT
242.95,18,18.46,4373.1,05/11/2000,SYK,GIFT
242.95,36,43.50,8746.2,05/15/2006,SYK,
65.98,320,12.85,21113.6,04/15/2011,TJX,PURCHASE
65.98,19,13.28,1253.62,09/08/2011,TJX,GIFT
456.3,20,497.24,9126,02/09/2021,TMO,PURCHASE
220.21,50,100.63,11010.5,06/23/2014,UNP,PURCHASE
216.44,26,71.82,5627.44,05/16/2013,WEX,GIFT
117.76,71,23.80,8360.96,07/10/2008,CNI,GIFT
117.76,36,18.24,4239.36,07/10/2008,CNI,GIFT
117.76,25,50.97,2944,07/18/2013,CNI,PURCHASE
89.2049,30,53.87,2676.15,08/06/2007,HKHHF,
89.2049,180,29.05,16056.88,01/02/2009,HKHHF,GIFT
89.2049,40,50.75,3568.2,04/18/2011,HKHHF,PURCHASE
208.08,70,23.54,14565.6,06/22/2011,NXPI,PURCHASE
