Tax Lot Detail
As of Date:   10/01/2021
Position Type:    Traded

UNITPRICE,UNITS,UNITCOST,MARKETVALUE,ACQUIRED,TICKER,HOWACQUIRED
117.21,65,23.03,7618.65,05/14/2010,ABT,
117.21,60,34.51,7032.6,03/15/2013,ABT,PURCHASE
117.21,125,42.06,14651.25,10/20/2015,ABT,PURCHASE
577.47,30,345.97,17324.1,01/14/2020,ADBE,PURCHASE
2730.86,10,840.43,27308.6,02/14/2017,GOOGL,PURCHASE
3283.26,5,1848.35,16416.3,04/12/2019,AMZN,PURCHASE
3283.26,3,1865.99,9849.78,01/14/2020,AMZN,PURCHASE
266.61,50,95.74,13330.5,10/10/2014,AMT,PURCHASE
266.61,40,96.05,10664.4,03/12/2015,AMT,PURCHASE
266.61,20,96.97,5332.2,10/20/2015,AMT,PURCHASE
266.61,22,97.65,5865.42,11/12/2015,AMT,GIFT
202,25,10.05,5050,04/15/1994,ADP,
202,35,10.05,7070,04/15/1994,ADP,GIFT
82.24,140,26.65,11513.6,10/19/2012,CHD,PURCHASE
82.24,58,26.65,4769.92,10/19/2012,CHD,GIFT
302.32,82,32.92,24790.24,09/08/2011,DHR,GIFT
302.32,43,32.92,12999.76,09/08/2011,DHR,GIFT
302.32,55,39.89,16627.6,07/30/2012,DHR,PURCHASE
302.32,20,40.00,6046.4,10/19/2012,DHR,PURCHASE
112.28,125,79.87,14035,11/11/2020,EW,PURCHASE
343.01,20,327.96,6860.2,05/26/2021,META,PURCHASE
109.78,154,11.52,16906.12,02/12/2010,FI,GIFT
109.78,101,12.42,11087.78,05/14/2010,FI,
543.97,81,60.86,44061.57,10/19/2012,INTU,PURCHASE
241.55,20,245.42,4831,07/15/2021,IQV,PURCHASE
360.18,141,23.11,50785.38,01/20/2011,MA,PURCHASE
289.1,100,25.84,28910,05/08/2003,MSFT,
289.1,50,101.16,14455,06/15/2018,MSFT,PURCHASE
505.61,65,39.44,32864.65,05/11/2016,PAYC,PURCHASE
264.65,50,192.62,13232.5,11/11/2020,PYPL,PURCHASE
447.58,25,372.29,11189.5,01/14/2020,ROP,PURCHASE
275.26,55,182.58,15139.3,01/14/2020,CRM,PURCHASE
632.8,15,375.67,9492,06/11/2020,NOW,PURCHASE
632.8,10,498.97,6328,03/11/2021,NOW,PURCHASE
112.92,175,38.40,19761,06/23/2014,SBUX,PURCHASE
268.22,114,18.46,30577.08,05/11/2000,SYK,GIFT
268.22,18,18.46,4827.96,05/11/2000,SYK,GIFT
268.22,36,43.50,9655.92,05/15/2006,SYK,
66.61,320,12.85,21315.2,04/15/2011,TJX,PURCHASE
66.61,19,13.28,1265.59,09/08/2011,TJX,GIFT
572.72,20,497.24,11454.4,02/09/2021,TMO,PURCHASE
201.74,35,100.63,7060.9,06/23/2014,UNP,PURCHASE
118.01,71,23.80,8378.71,07/10/2008,CNI,GIFT
118.01,36,18.24,4248.36,07/10/2008,CNI,GIFT
118.01,25,50.97,2950.25,07/18/2013,CNI,PURCHASE
87.6695,30,53.87,2630.09,08/06/2007,HKHHF,
87.6695,180,29.05,15780.51,01/02/2009,HKHHF,GIFT
87.6695,40,50.75,3506.78,04/18/2011,HKHHF,PURCHASE
192.89,70,23.54,13502.3,06/22/2011,NXPI,PURCHASE


""


