Tax Lot Detail
As of Date:   10/01/2020
Position Type:    Traded

UNITPRICE,UNITS,UNITCOST,MARKETVALUE,ACQUIRED,TICKER,HOWACQUIRED
108.64,65,23.03,7061.6,05/14/2010,ABT,
108.64,60,34.51,6518.4,03/15/2013,ABT,PURCHASE
108.64,125,42.06,13580,10/20/2015,ABT,PURCHASE
499.51,30,345.97,14985.3,01/14/2020,ADBE,PURCHASE
1487.9,10,840.43,14879,02/14/2017,GOOGL,PURCHASE
3221.26,5,1848.35,16106.3,04/12/2019,AMZN,PURCHASE
3221.26,3,1865.99,9663.78,01/14/2020,AMZN,PURCHASE
242.15,50,95.74,12107.5,10/10/2014,AMT,PURCHASE
242.15,40,96.05,9686,03/12/2015,AMT,PURCHASE
242.15,20,96.97,4843,10/20/2015,AMT,PURCHASE
242.15,22,97.65,5327.3,11/12/2015,AMT,GIFT
137.7,25,10.05,3442.5,04/15/1994,ADP,
137.7,105,10.05,14458.5,04/15/1994,ADP,GIFT
230.85,20,224.72,4617,03/15/2018,BDX,PURCHASE
230.85,20,232.86,4617,04/26/2018,BDX,PURCHASE
93.1,140,26.65,13034,10/19/2012,CHD,PURCHASE
214.67,82,32.92,17602.94,09/08/2011,DHR,GIFT
214.67,43,32.92,9230.81,09/08/2011,DHR,GIFT
214.67,55,39.89,11806.85,07/30/2012,DHR,PURCHASE
214.67,50,40.00,10733.5,10/19/2012,DHR,PURCHASE
34.86,60,49.59,2091.6,07/30/2012,EOG,PURCHASE
34.86,40,85.58,1394.4,01/13/2015,EOG,PURCHASE
34.86,100,88.47,3486,06/16/2017,EOG,PURCHASE
197.08,50,50.96,9854,04/15/2011,ECL,PURCHASE
104.25,154,11.52,16054.5,02/12/2010,FI,GIFT
104.25,101,12.42,10529.25,05/14/2010,FI,
332.34,100,60.86,33234,10/19/2012,INTU,PURCHASE
332.34,16,79.54,5317.44,06/23/2014,INTU,GIFT
343.37,150,23.11,51505.5,01/20/2011,MA,PURCHASE
343.37,30,34.88,10301.1,01/10/2012,MA,GIFT
343.37,11,34.93,3777.07,01/10/2012,MA,GIFT
212.46,100,25.84,21246,05/08/2003,MSFT,
212.46,50,101.16,10623,06/15/2018,MSFT,PURCHASE
320.44,80,39.44,25635.2,05/11/2016,PAYC,PURCHASE
393.48,25,372.29,9837,01/14/2020,ROP,PURCHASE
253.45,55,182.58,13939.75,01/14/2020,CRM,PURCHASE
492.52,15,375.67,7387.8,06/11/2020,NOW,PURCHASE
86.74,175,38.40,15179.5,06/23/2014,SBUX,PURCHASE
208.67,114,18.46,23788.38,05/11/2000,SYK,GIFT
208.67,36,43.50,7512.12,05/15/2006,SYK,
57.08,320,12.85,18265.6,04/15/2011,TJX,PURCHASE
57.08,49,13.28,2796.92,09/08/2011,TJX,GIFT
194.23,50,100.63,9711.5,06/23/2014,UNP,PURCHASE
140.25,50,84.68,7012.5,07/18/2013,WEX,PURCHASE
140.25,20,98.98,2805,05/03/2017,WEX,PURCHASE
106.43,71,23.80,7556.53,07/10/2008,CNI,GIFT
106.43,36,18.24,3831.48,07/10/2008,CNI,GIFT
106.43,25,50.97,2660.75,07/18/2013,CNI,PURCHASE
119.776,54,33.60,6467.9,10/25/2006,NSRGY,GIFT
119.776,32,36.10,3832.83,12/15/2006,NSRGY,GIFT
119.776,14,39.46,1676.87,05/11/2007,NSRGY,
78.5687,30,53.87,2357.06,08/06/2007,HKHHF,
78.5687,180,29.05,14142.37,01/02/2009,HKHHF,GIFT
78.5687,40,50.75,3142.75,04/18/2011,HKHHF,PURCHASE
130.99,70,23.54,9169.3,06/22/2011,NXPI,PURCHASE


""


