Tax Lot Detail
As of Date:   01/01/2021
Position Type:    Traded

UNITPRICE,UNITS,UNITCOST,MARKETVALUE,ACQUIRED,TICKER,HOWACQUIRED
109.49,65,23.03,7116.85,05/14/2010,ABT,
109.49,60,34.51,6569.4,03/15/2013,ABT,PURCHASE
109.49,125,42.06,13686.25,10/20/2015,ABT,PURCHASE
500.12,30,345.97,15003.6,01/14/2020,ADBE,PURCHASE
1752.64,10,840.43,17526.4,02/14/2017,GOOGL,PURCHASE
3256.93,5,1848.35,16284.65,04/12/2019,AMZN,PURCHASE
3256.93,3,1865.99,9770.79,01/14/2020,AMZN,PURCHASE
224.46,50,95.74,11223,10/10/2014,AMT,PURCHASE
224.46,40,96.05,8978.4,03/12/2015,AMT,PURCHASE
224.46,20,96.97,4489.2,10/20/2015,AMT,PURCHASE
224.46,22,97.65,4938.12,11/12/2015,AMT,GIFT
176.2,25,10.05,4405,04/15/1994,ADP,
176.2,105,10.05,18501,04/15/1994,ADP,GIFT
250.22,20,224.72,5004.4,03/15/2018,BDX,PURCHASE
250.22,20,232.86,5004.4,04/26/2018,BDX,PURCHASE
87.23,140,26.65,12212.2,10/19/2012,CHD,PURCHASE
222.14,82,32.92,18215.48,09/08/2011,DHR,GIFT
222.14,43,32.92,9552.02,09/08/2011,DHR,GIFT
222.14,55,39.89,12217.7,07/30/2012,DHR,PURCHASE
222.14,30,40.00,6664.2,10/19/2012,DHR,PURCHASE
216.36,50,50.96,10818,04/15/2011,ECL,PURCHASE
91.23,125,79.87,11403.75,11/11/2020,EW,PURCHASE
113.86,154,11.52,17534.44,02/12/2010,FI,GIFT
113.86,101,12.42,11499.86,05/14/2010,FI,
379.85,100,60.86,37985,10/19/2012,INTU,PURCHASE
379.85,16,79.54,6077.6,06/23/2014,INTU,GIFT
356.94,150,23.11,53541,01/20/2011,MA,PURCHASE
356.94,26,34.88,9280.44,01/10/2012,MA,GIFT
222.42,100,25.84,22242,05/08/2003,MSFT,
222.42,50,101.16,11121,06/15/2018,MSFT,PURCHASE
452.25,80,39.44,36180,05/11/2016,PAYC,PURCHASE
234.2,50,192.62,11710,11/11/2020,PYPL,PURCHASE
431.09,25,372.29,10777.25,01/14/2020,ROP,PURCHASE
222.53,55,182.58,12239.15,01/14/2020,CRM,PURCHASE
550.43,15,375.67,8256.45,06/11/2020,NOW,PURCHASE
106.98,175,38.40,18721.5,06/23/2014,SBUX,PURCHASE
245.04,114,18.46,27934.56,05/11/2000,SYK,GIFT
245.04,36,43.50,8821.44,05/15/2006,SYK,
68.29,320,12.85,21852.8,04/15/2011,TJX,PURCHASE
68.29,49,13.28,3346.21,09/08/2011,TJX,GIFT
208.22,50,100.63,10411,06/23/2014,UNP,PURCHASE
109.85,71,23.80,7799.35,07/10/2008,CNI,GIFT
109.85,36,18.24,3954.6,07/10/2008,CNI,GIFT
109.85,25,50.97,2746.25,07/18/2013,CNI,PURCHASE
117.948,54,33.60,6369.19,10/25/2006,NSRGY,GIFT
117.948,32,36.10,3774.34,12/15/2006,NSRGY,GIFT
117.948,14,39.46,1651.27,05/11/2007,NSRGY,
94.1276,30,53.87,2823.83,08/06/2007,HKHHF,
94.1276,180,29.05,16942.97,01/02/2009,HKHHF,GIFT
94.1276,40,50.75,3765.1,04/18/2011,HKHHF,PURCHASE
159.01,70,23.54,11130.7,06/22/2011,NXPI,PURCHASE


""


