Tax Lot Detail
As of Date:   10/01/2022
Position Type:    Traded

UNITPRICE,TAXLOT,UNITS,UNITCOST,COST,MARKETVALUE,UNREALIZEDGAINLOSS,ACQUIRED,TICKER,HOWACQUIRED
96.76,1001,65,23.03,1497.06,6289.4,4792.34,05/14/2010,ABT,
96.76,1002,60,34.51,2070.59,5805.6,3735.01,03/15/2013,ABT,PURCHASE
96.76,1003,122,42.06,5131.12,11804.72,6673.6,10/20/2015,ABT,PURCHASE
275.2,1066,30,345.97,10379.1,8256,-2123.1,01/14/2020,ADBE,PURCHASE
95.65,1004,200,42.02,8404.26,19130,10725.74,02/14/2017,GOOGL,PURCHASE
113,1005,100,92.42,9241.77,11300,2058.23,04/12/2019,AMZN,PURCHASE
113,1068,60,93.30,5597.96,6780,1182.04,01/14/2020,AMZN,PURCHASE
214.7,1006,50,95.74,4787,10735,5948,10/10/2014,AMT,PURCHASE
214.7,1007,40,96.05,3842.04,8588,4745.96,03/12/2015,AMT,PURCHASE
214.7,1008,20,96.97,1939.4,4294,2354.6,10/20/2015,AMT,PURCHASE
214.7,1009,22,97.65,2148.24,4723.4,2575.16,11/12/2015,AMT,GIFT
226.19,1011,25,10.05,251.32,5654.75,5403.43,04/15/1994,ADP,
226.19,1012,35,10.05,351.85,7916.65,7564.8,04/15/1994,ADP,GIFT
71.44,1018,140,26.65,3730.34,10001.6,6271.26,10/19/2012,CHD,PURCHASE
71.44,1077,58,26.65,1545.43,4143.52,2598.09,10/19/2012,CHD,GIFT
258.29,1019,82,32.92,2699.39,21179.78,18480.39,09/08/2011,DHR,GIFT
258.29,1069,43,32.92,1415.54,11106.47,9690.93,09/08/2011,DHR,GIFT
258.29,1020,34,39.89,1356.26,8781.86,7425.6,07/30/2012,DHR,PURCHASE
82.63,1073,125,79.87,9984.34,10328.75,344.41,11/11/2020,EW,PURCHASE
135.68,1081,20,327.96,6559.2,2713.6,-3845.6,05/26/2021,META,PURCHASE
93.57,1030,154,11.52,1774.31,14409.78,12635.47,02/12/2010,FI,GIFT
93.57,1031,101,12.42,1254.6,9450.57,8195.97,05/14/2010,FI,
387.32,1036,76,60.86,4625.62,29436.32,24810.7,10/19/2012,INTU,PURCHASE
181.14,1082,20,245.42,4908.32,3622.8,-1285.52,07/15/2021,IQV,PURCHASE
284.34,1037,131,23.11,3027.62,37248.54,34220.92,01/20/2011,MA,PURCHASE
232.9,1041,100,25.84,2584,23290,20706,05/08/2003,MSFT,
232.9,1042,50,101.16,5058,11645,6587,06/15/2018,MSFT,PURCHASE
329.99,1047,65,39.44,2563.59,21449.35,18885.76,05/11/2016,PAYC,PURCHASE
359.64,1065,25,372.29,9307.35,8991,-316.35,01/14/2020,ROP,PURCHASE
143.84,1067,55,182.58,10041.8,7911.2,-2130.6,01/14/2020,CRM,PURCHASE
377.61,1072,15,375.67,5635,5664.15,29.15,06/11/2020,NOW,PURCHASE
377.61,1080,10,498.97,4989.68,3776.1,-1213.58,03/11/2021,NOW,PURCHASE
202.54,1050,114,18.46,2104.58,23089.56,20984.98,05/11/2000,SYK,GIFT
202.54,1078,18,18.46,332.31,3645.72,3313.41,05/11/2000,SYK,GIFT
202.54,1051,34,43.50,1479,6886.36,5407.36,05/15/2006,SYK,
62.12,1052,289,12.85,3713.6,17952.68,14239.08,04/15/2011,TJX,PURCHASE
507.19,1079,20,497.24,9944.78,10143.8,199.02,02/09/2021,TMO,PURCHASE
194.82,1055,35,100.63,3522.05,6818.7,3296.65,06/23/2014,UNP,PURCHASE
107.99,1015,71,23.80,1690.03,7667.29,5977.26,07/10/2008,CNI,GIFT
107.99,1016,36,18.24,656.8,3887.64,3230.84,07/10/2008,CNI,GIFT
107.99,1017,25,50.97,1274.25,2699.75,1425.5,07/18/2013,CNI,PURCHASE
69.0655,1061,23,53.87,1238.97,1588.51,349.54,08/06/2007,HKHHF,
69.0655,1062,180,29.05,5228.39,12431.79,7203.4,01/02/2009,HKHHF,GIFT
69.0655,1063,40,50.75,2029.98,2762.62,732.64,04/18/2011,HKHHF,PURCHASE
147.51,1064,70,23.54,1647.5,10325.7,8678.2,06/22/2011,NXPI,PURCHASE


""


