Tax Lot Detail
As of Date:   01/01/2023
Position Type:    Traded

UNITPRICE,TAXLOT,UNITS,UNITCOST,COST,MARKETVALUE,UNREALIZEDGAINLOSS,ACQUIRED,TICKER,HOWACQUIRED
109.79,1001,65,23.03,1497.06,7136.35,5639.29,05/14/2010,ABT,
109.79,1002,60,34.51,2070.59,6587.4,4516.81,03/15/2013,ABT,PURCHASE
109.79,1003,122,42.06,5131.12,13394.38,8263.26,10/20/2015,ABT,PURCHASE
336.53,1066,30,345.97,10379.1,10095.9,-283.2,01/14/2020,ADBE,PURCHASE
88.23,1004,200,42.02,8404.26,17646,9241.74,02/14/2017,GOOGL,PURCHASE
84,1005,100,92.42,9241.77,8400,-841.77,04/12/2019,AMZN,PURCHASE
84,1068,60,93.30,5597.96,5040,-557.96,01/14/2020,AMZN,PURCHASE
211.86,1006,50,95.74,4787,10593,5806,10/10/2014,AMT,PURCHASE
211.86,1007,40,96.05,3842.04,8474.4,4632.36,03/12/2015,AMT,PURCHASE
211.86,1008,20,96.97,1939.4,4237.2,2297.8,10/20/2015,AMT,PURCHASE
211.86,1009,22,97.65,2148.24,4660.92,2512.68,11/12/2015,AMT,GIFT
238.86,1011,25,10.05,251.32,5971.5,5720.18,04/15/1994,ADP,
238.86,1012,35,10.05,351.85,8360.1,8008.25,04/15/1994,ADP,GIFT
80.61,1018,140,26.65,3730.34,11285.4,7555.06,10/19/2012,CHD,PURCHASE
80.61,1077,58,26.65,1545.43,4675.38,3129.95,10/19/2012,CHD,GIFT
265.42,1019,82,32.92,2699.39,21764.44,19065.05,09/08/2011,DHR,GIFT
265.42,1069,43,32.92,1415.54,11413.06,9997.52,09/08/2011,DHR,GIFT
265.42,1020,34,39.89,1356.26,9024.28,7668.02,07/30/2012,DHR,PURCHASE
74.61,1073,125,79.87,9984.34,9326.25,-658.09,11/11/2020,EW,PURCHASE
101.07,1030,154,11.52,1774.31,15564.78,13790.47,02/12/2010,FI,GIFT
101.07,1031,101,12.42,1254.6,10208.07,8953.47,05/14/2010,FI,
389.22,1036,76,60.86,4625.62,29580.72,24955.1,10/19/2012,INTU,PURCHASE
204.89,1082,20,245.42,4908.32,4097.8,-810.52,07/15/2021,IQV,PURCHASE
347.73,1037,131,23.11,3027.62,45552.63,42525.01,01/20/2011,MA,PURCHASE
239.82,1041,100,25.84,2584,23982,21398,05/08/2003,MSFT,
239.82,1042,50,101.16,5058,11991,6933,06/15/2018,MSFT,PURCHASE
310.31,1047,65,39.44,2563.59,20170.15,17606.56,05/11/2016,PAYC,PURCHASE
432.09,1065,25,372.29,9307.35,10802.25,1494.9,01/14/2020,ROP,PURCHASE
388.27,1072,15,375.67,5635,5824.05,189.05,06/11/2020,NOW,PURCHASE
388.27,1080,10,498.97,4989.68,3882.7,-1106.98,03/11/2021,NOW,PURCHASE
244.49,1050,114,18.46,2104.58,27871.86,25767.28,05/11/2000,SYK,GIFT
244.49,1078,18,18.46,332.31,4400.82,4068.51,05/11/2000,SYK,GIFT
244.49,1051,34,43.50,1479,8312.66,6833.66,05/15/2006,SYK,
79.6,1052,289,12.85,3713.6,23004.4,19290.8,04/15/2011,TJX,PURCHASE
550.69,1079,20,497.24,9944.78,11013.8,1069.02,02/09/2021,TMO,PURCHASE
207.07,1055,35,100.63,3522.05,7247.45,3725.4,06/23/2014,UNP,PURCHASE
118.88,1015,71,23.80,1690.03,8440.48,6750.45,07/10/2008,CNI,GIFT
118.88,1016,36,18.24,656.8,4279.68,3622.88,07/10/2008,CNI,GIFT
118.88,1017,25,50.97,1274.25,2972,1697.75,07/18/2013,CNI,PURCHASE
77.5458,1061,23,53.87,1238.97,1783.55,544.58,08/06/2007,HKHHF,
77.5458,1062,180,29.05,5228.39,13958.25,8729.86,01/02/2009,HKHHF,GIFT
77.5458,1063,40,50.75,2029.98,3101.83,1071.85,04/18/2011,HKHHF,PURCHASE
158.03,1064,70,23.54,1647.5,11062.1,9414.6,06/22/2011,NXPI,PURCHASE


""


