Tax Lot Detail
As of Date:   01/01/2022
Position Type:    Traded

UNITPRICE,TAXLOT,UNITS,UNITCOST,COST,MARKETVALUE,UNREALIZEDGAINLOSS,ACQUIRED,TICKER,HOWACQUIRED
140.74,1001,65,23.03,1497.06,9148.1,7651.04,05/14/2010,ABT,
140.74,1002,60,34.51,2070.59,8444.4,6373.81,03/15/2013,ABT,PURCHASE
140.74,1003,125,42.06,5257.3,17592.5,12335.2,10/20/2015,ABT,PURCHASE
567.06,1066,30,345.97,10379.1,17011.8,6632.7,01/14/2020,ADBE,PURCHASE
2897.04,1004,10,840.43,8404.26,28970.4,20566.14,02/14/2017,GOOGL,PURCHASE
3334.34,1005,5,1848.35,9241.77,16671.7,7429.93,04/12/2019,AMZN,PURCHASE
3334.34,1068,3,1865.99,5597.96,10003.02,4405.06,01/14/2020,AMZN,PURCHASE
292.5,1006,50,95.74,4787,14625,9838,10/10/2014,AMT,PURCHASE
292.5,1007,40,96.05,3842.04,11700,7857.96,03/12/2015,AMT,PURCHASE
292.5,1008,20,96.97,1939.4,5850,3910.6,10/20/2015,AMT,PURCHASE
292.5,1009,22,97.65,2148.24,6435,4286.76,11/12/2015,AMT,GIFT
246.58,1011,25,10.05,251.32,6164.5,5913.18,04/15/1994,ADP,
246.58,1012,35,10.05,351.85,8630.3,8278.45,04/15/1994,ADP,GIFT
102.5,1018,140,26.65,3730.34,14350,10619.66,10/19/2012,CHD,PURCHASE
102.5,1077,58,26.65,1545.43,5945,4399.57,10/19/2012,CHD,GIFT
329.01,1019,82,32.92,2699.39,26978.82,24279.43,09/08/2011,DHR,GIFT
329.01,1069,43,32.92,1415.54,14147.43,12731.89,09/08/2011,DHR,GIFT
329.01,1020,55,39.89,2193.95,18095.55,15901.6,07/30/2012,DHR,PURCHASE
329.01,1021,20,40.00,800.05,6580.2,5780.15,10/19/2012,DHR,PURCHASE
129.55,1073,125,79.87,9984.34,16193.75,6209.41,11/11/2020,EW,PURCHASE
336.35,1081,20,327.96,6559.2,6727,167.8,05/26/2021,META,PURCHASE
103.79,1030,154,11.52,1774.31,15983.66,14209.35,02/12/2010,FI,GIFT
103.79,1031,101,12.42,1254.6,10482.79,9228.19,05/14/2010,FI,
643.22,1036,81,60.86,4929.94,52100.82,47170.88,10/19/2012,INTU,PURCHASE
282.14,1082,20,245.42,4908.32,5642.8,734.48,07/15/2021,IQV,PURCHASE
359.32,1037,141,23.11,3258.74,50664.12,47405.38,01/20/2011,MA,PURCHASE
336.32,1041,100,25.84,2584,33632,31048,05/08/2003,MSFT,
336.32,1042,50,101.16,5058,16816,11758,06/15/2018,MSFT,PURCHASE
415.19,1047,65,39.44,2563.59,26987.35,24423.76,05/11/2016,PAYC,PURCHASE
188.58,1074,50,192.62,9630.88,9429,-201.88,11/11/2020,PYPL,PURCHASE
491.86,1065,25,372.29,9307.35,12296.5,2989.15,01/14/2020,ROP,PURCHASE
254.13,1067,55,182.58,10041.8,13977.15,3935.35,01/14/2020,CRM,PURCHASE
649.11,1072,15,375.67,5635,9736.65,4101.65,06/11/2020,NOW,PURCHASE
649.11,1080,10,498.97,4989.68,6491.1,1501.42,03/11/2021,NOW,PURCHASE
116.97,1048,175,38.40,6719.96,20469.75,13749.79,06/23/2014,SBUX,PURCHASE
267.42,1050,114,18.46,2104.58,30485.88,28381.3,05/11/2000,SYK,GIFT
267.42,1078,18,18.46,332.31,4813.56,4481.25,05/11/2000,SYK,GIFT
267.42,1051,36,43.50,1566,9627.12,8061.12,05/15/2006,SYK,
75.92,1052,320,12.85,4111.94,24294.4,20182.46,04/15/2011,TJX,PURCHASE
75.92,1054,19,13.28,252.41,1442.48,1190.07,09/08/2011,TJX,GIFT
667.24,1079,20,497.24,9944.78,13344.8,3400.02,02/09/2021,TMO,PURCHASE
251.93,1055,35,100.63,3522.05,8817.55,5295.5,06/23/2014,UNP,PURCHASE
122.86,1015,71,23.80,1690.03,8723.06,7033.03,07/10/2008,CNI,GIFT
122.86,1016,36,18.24,656.8,4422.96,3766.16,07/10/2008,CNI,GIFT
122.86,1017,25,50.97,1274.25,3071.5,1797.25,07/18/2013,CNI,PURCHASE
93.198,1061,30,53.87,1616.05,2795.94,1179.89,08/06/2007,HKHHF,
93.198,1062,180,29.05,5228.39,16775.64,11547.25,01/02/2009,HKHHF,GIFT
93.198,1063,40,50.75,2029.98,3727.92,1697.94,04/18/2011,HKHHF,PURCHASE
227.78,1064,70,23.54,1647.5,15944.6,14297.1,06/22/2011,NXPI,PURCHASE


""


