Tax Lot Detail
As of Date:   07/01/2023
Position Type:    Traded

UNITPRICE,TAXLOT,UNITCOST,MARKETVALUE,UNREALIZEDGAINLOSS,ACQUIRED,TICKER,HOWACQUIRED,UNITS
109.02,1001,23.03,7086.3,5589.24,05/14/2010,ABT,,65
109.02,1002,34.51,6541.2,4470.61,03/15/2013,ABT,PURCHASE,60
109.02,1003,42.06,13300.44,8169.32,10/20/2015,ABT,PURCHASE,122
488.99,1066,345.97,14669.7,4290.6,01/14/2020,ADBE,PURCHASE,30
119.7,1004,42.02,23940,15535.74,02/14/2017,GOOGL,PURCHASE,200
130.36,1005,92.42,13036,3794.23,04/12/2019,AMZN,PURCHASE,100
130.36,1068,93.30,7821.6,2223.64,01/14/2020,AMZN,PURCHASE,60
193.94,1006,95.74,9697,4910,10/10/2014,AMT,PURCHASE,50
193.94,1007,96.05,7757.6,3915.56,03/12/2015,AMT,PURCHASE,40
193.94,1008,96.97,3878.8,1939.4,10/20/2015,AMT,PURCHASE,20
193.94,1009,97.65,4266.68,2118.44,11/12/2015,AMT,GIFT,22
219.79,1011,10.05,5494.75,5243.43,04/15/1994,ADP,,25
219.79,1012,10.05,7692.65,7340.8,04/15/1994,ADP,GIFT,35
100.23,1018,26.65,14032.2,10301.86,10/19/2012,CHD,PURCHASE,140
100.23,1077,26.65,5813.34,4267.91,10/19/2012,CHD,GIFT,58
240,1019,32.92,19680,16980.61,09/08/2011,DHR,GIFT,82
240,1069,32.92,10320,8904.46,09/08/2011,DHR,GIFT,43
240,1020,39.89,8160,6803.74,07/30/2012,DHR,PURCHASE,34
94.33,1073,79.87,11791.25,1806.91,11/11/2020,EW,PURCHASE,125
126.15,1030,11.52,19427.1,17652.79,02/12/2010,FI,GIFT,154
126.15,1031,12.42,12741.15,11486.55,05/14/2010,FI,,101
458.19,1036,60.86,34822.44,30196.82,10/19/2012,INTU,PURCHASE,76
393.3,1037,23.11,51522.3,48494.68,01/20/2011,MA,PURCHASE,131
340.54,1041,25.84,34054,31470,05/08/2003,MSFT,,100
340.54,1042,101.16,17027,11969,06/15/2018,MSFT,PURCHASE,50
321.24,1047,39.44,20880.6,18317.01,05/11/2016,PAYC,PURCHASE,65
480.8,1065,372.29,12020,2712.65,01/14/2020,ROP,PURCHASE,25
561.97,1072,375.67,8429.55,2794.55,06/11/2020,NOW,PURCHASE,15
561.97,1080,498.97,5619.7,630.02,03/11/2021,NOW,PURCHASE,10
305.09,1050,18.46,34780.26,32675.68,05/11/2000,SYK,GIFT,114
305.09,1078,18.46,5491.62,5159.31,05/11/2000,SYK,GIFT,18
305.09,1051,43.50,2745.81,2354.31,05/15/2006,SYK,,9
84.79,1052,12.85,24504.31,20790.71,04/15/2011,TJX,PURCHASE,289
521.75,1079,497.24,10435,490.22,02/09/2021,TMO,PURCHASE,20
204.62,1055,100.63,7161.7,3639.65,06/23/2014,UNP,PURCHASE,35
121.07,1015,23.80,8595.97,6905.94,07/10/2008,CNI,GIFT,71
121.07,1016,18.24,4358.52,3701.72,07/10/2008,CNI,GIFT,36
121.07,1017,50.97,3026.75,1752.5,07/18/2013,CNI,PURCHASE,25
86.8982,1061,53.87,1998.66,759.69,08/06/2007,HKHHF,,23
86.8982,1062,29.05,15641.67,10413.28,01/02/2009,HKHHF,GIFT,180
86.8982,1063,50.75,3475.93,1445.95,04/18/2011,HKHHF,PURCHASE,40
204.68,1064,23.54,14327.6,12680.1,06/22/2011,NXPI,PURCHASE,70


""


