Tax Lot Detail
As of Date:   07/01/2020
Position Type:    Traded

UNITPRICE,UNITS,UNITCOST,MARKETVALUE,ACQUIRED,TICKER,HOWACQUIRED
91.64,65,23.03,5956.6,05/14/2010,ABT,
91.64,60,34.51,5498.4,03/15/2013,ABT,PURCHASE
91.64,125,42.06,11455,10/20/2015,ABT,PURCHASE
439.81,30,345.97,13194.3,01/14/2020,ADBE,PURCHASE
1442,10,840.43,14420,02/14/2017,GOOGL,PURCHASE
2878.7,5,1848.35,14393.5,04/12/2019,AMZN,PURCHASE
2878.7,3,1865.99,8636.1,01/14/2020,AMZN,PURCHASE
265.39,50,95.74,13269.5,10/10/2014,AMT,PURCHASE
265.39,40,96.05,10615.6,03/12/2015,AMT,PURCHASE
265.39,20,96.97,5307.8,10/20/2015,AMT,PURCHASE
265.39,22,97.65,5838.58,11/12/2015,AMT,GIFT
149.11,25,10.05,3727.75,04/15/1994,ADP,
149.11,105,10.05,15656.55,04/15/1994,ADP,GIFT
241.53,20,224.72,4830.6,03/15/2018,BDX,PURCHASE
241.53,20,232.86,4830.6,04/26/2018,BDX,PURCHASE
77.9,140,26.65,10906,10/19/2012,CHD,PURCHASE
177.16,82,32.92,14527.12,09/08/2011,DHR,GIFT
177.16,43,32.92,7617.88,09/08/2011,DHR,GIFT
177.16,55,39.89,9743.8,07/30/2012,DHR,PURCHASE
177.16,50,40.00,8858,10/19/2012,DHR,PURCHASE
49.86,60,49.59,2991.6,07/30/2012,EOG,PURCHASE
49.86,40,85.58,1994.4,01/13/2015,EOG,PURCHASE
49.86,100,88.47,4986,06/16/2017,EOG,PURCHASE
200.24,50,50.96,10012,04/15/2011,ECL,PURCHASE
98.5,154,11.52,15169,02/12/2010,FI,GIFT
98.5,101,12.42,9948.5,05/14/2010,FI,
302.58,100,60.86,30258,10/19/2012,INTU,PURCHASE
302.58,16,79.54,4841.28,06/23/2014,INTU,GIFT
301.17,150,23.11,45175.5,01/20/2011,MA,PURCHASE
301.17,30,34.88,9035.1,01/10/2012,MA,GIFT
301.17,11,34.93,3312.87,01/10/2012,MA,GIFT
204.7,100,25.84,20470,05/08/2003,MSFT,
204.7,50,101.16,10235,06/15/2018,MSFT,PURCHASE
320.26,80,39.44,25620.8,05/11/2016,PAYC,PURCHASE
389.69,25,372.29,9742.25,01/14/2020,ROP,PURCHASE
191.89,55,182.58,10553.95,01/14/2020,CRM,PURCHASE
416.79,15,375.67,6251.85,06/11/2020,NOW,PURCHASE
74.03,175,38.40,12955.25,06/23/2014,SBUX,PURCHASE
183.84,114,18.46,20957.76,05/11/2000,SYK,GIFT
183.84,36,43.50,6618.24,05/15/2006,SYK,
51.18,320,12.85,16377.6,04/15/2011,TJX,PURCHASE
51.18,49,13.28,2507.82,09/08/2011,TJX,GIFT
166.88,50,100.63,8344,06/23/2014,UNP,PURCHASE
162.83,50,84.68,8141.5,07/18/2013,WEX,PURCHASE
162.83,20,98.98,3256.6,05/03/2017,WEX,PURCHASE
88.08,71,23.80,6253.68,07/10/2008,CNI,GIFT
88.08,36,18.24,3170.88,07/10/2008,CNI,GIFT
88.08,25,50.97,2202,07/18/2013,CNI,PURCHASE
111.386,54,33.60,6014.84,10/25/2006,NSRGY,GIFT
111.386,32,36.10,3564.35,12/15/2006,NSRGY,GIFT
111.386,14,39.46,1559.41,05/11/2007,NSRGY,
82.0364,30,53.87,2461.09,08/06/2007,HKHHF,
82.0364,180,29.05,14766.55,01/02/2009,HKHHF,GIFT
82.0364,40,50.75,3281.46,04/18/2011,HKHHF,PURCHASE
111.91,70,23.54,7833.7,06/22/2011,NXPI,PURCHASE

