Tax Lot Detail
As of Date:   07/01/2021
Position Type:    Traded

UNITPRICE,UNITS,UNITCOST,MARKETVALUE,ACQUIRED,TICKER,HOWACQUIRED
117.16,65,23.03,7615.4,05/14/2010,ABT,
117.16,60,34.51,7029.6,03/15/2013,ABT,PURCHASE
117.16,125,42.06,14645,10/20/2015,ABT,PURCHASE
584.73,30,345.97,17541.9,01/14/2020,ADBE,PURCHASE
2448.89,10,840.43,24488.9,02/14/2017,GOOGL,PURCHASE
3432.97,5,1848.35,17164.85,04/12/2019,AMZN,PURCHASE
3432.97,3,1865.99,10298.91,01/14/2020,AMZN,PURCHASE
270.33,50,95.74,13516.5,10/10/2014,AMT,PURCHASE
270.33,40,96.05,10813.2,03/12/2015,AMT,PURCHASE
270.33,20,96.97,5406.6,10/20/2015,AMT,PURCHASE
270.33,22,97.65,5947.26,11/12/2015,AMT,GIFT
199.81,25,10.05,4995.25,04/15/1994,ADP,
199.81,60,10.05,11988.6,04/15/1994,ADP,GIFT
84.9,140,26.65,11886,10/19/2012,CHD,PURCHASE
84.9,58,26.65,4924.2,10/19/2012,CHD,GIFT
272.21,82,32.92,22321.22,09/08/2011,DHR,GIFT
272.21,43,32.92,11705.03,09/08/2011,DHR,GIFT
272.21,55,39.89,14971.55,07/30/2012,DHR,PURCHASE
272.21,20,40.00,5444.2,10/19/2012,DHR,PURCHASE
209.18,50,50.96,10459,04/15/2011,ECL,PURCHASE
104.81,125,79.87,13101.25,11/11/2020,EW,PURCHASE
354.39,20,327.96,7087.8,05/26/2021,META,PURCHASE
108.34,154,11.52,16684.36,02/12/2010,FI,GIFT
108.34,101,12.42,10942.34,05/14/2010,FI,
491.05,100,60.86,49105,10/19/2012,INTU,PURCHASE
491.05,1,79.54,491.05,06/23/2014,INTU,GIFT
370.71,141,23.11,52270.11,01/20/2011,MA,PURCHASE
271.6,100,25.84,27160,05/08/2003,MSFT,
271.6,50,101.16,13580,06/15/2018,MSFT,PURCHASE
373.59,65,39.44,24283.35,05/11/2016,PAYC,PURCHASE
289,50,192.62,14450,11/11/2020,PYPL,PURCHASE
470.44,25,372.29,11761,01/14/2020,ROP,PURCHASE
244.98,55,182.58,13473.9,01/14/2020,CRM,PURCHASE
545.17,15,375.67,8177.55,06/11/2020,NOW,PURCHASE
545.17,10,498.97,5451.7,03/11/2021,NOW,PURCHASE
113.41,175,38.40,19846.75,06/23/2014,SBUX,PURCHASE
262.7,114,18.46,29947.8,05/11/2000,SYK,GIFT
262.7,18,18.46,4728.6,05/11/2000,SYK,GIFT
262.7,36,43.50,9457.2,05/15/2006,SYK,
67.88,320,12.85,21721.6,04/15/2011,TJX,PURCHASE
67.88,19,13.28,1289.72,09/08/2011,TJX,GIFT
509.53,20,497.24,10190.6,02/09/2021,TMO,PURCHASE
223.55,35,100.63,7824.25,06/23/2014,UNP,PURCHASE
198.26,26,71.82,5154.76,05/16/2013,WEX,GIFT
105.62,71,23.80,7499.02,07/10/2008,CNI,GIFT
105.62,36,18.24,3802.32,07/10/2008,CNI,GIFT
105.62,25,50.97,2640.5,07/18/2013,CNI,PURCHASE
101.9464,30,53.87,3058.39,08/06/2007,HKHHF,
101.9464,180,29.05,18350.35,01/02/2009,HKHHF,GIFT
101.9464,40,50.75,4077.86,04/18/2011,HKHHF,PURCHASE
201.86,70,23.54,14130.2,06/22/2011,NXPI,PURCHASE


""


