Tax Lot Detail
As of Date:   07/01/2022
Position Type:    Traded

UNITPRICE,TAXLOT,UNITS,UNITCOST,COST,MARKETVALUE,UNREALIZEDGAINLOSS,ACQUIRED,TICKER,HOWACQUIRED
110.22,1001,65,23.03,1497.06,7164.3,5667.24,05/14/2010,ABT,
110.22,1002,60,34.51,2070.59,6613.2,4542.61,03/15/2013,ABT,PURCHASE
110.22,1003,125,42.06,5257.3,13777.5,8520.2,10/20/2015,ABT,PURCHASE
368.48,1066,30,345.97,10379.1,11054.4,675.3,01/14/2020,ADBE,PURCHASE
2174.75,1004,10,840.43,8404.26,21747.5,13343.24,02/14/2017,GOOGL,PURCHASE
109.56,1005,100,92.42,9241.77,10956,1714.23,04/12/2019,AMZN,PURCHASE
109.56,1068,60,93.30,5597.96,6573.6,975.64,01/14/2020,AMZN,PURCHASE
258.4,1006,50,95.74,4787,12920,8133,10/10/2014,AMT,PURCHASE
258.4,1007,40,96.05,3842.04,10336,6493.96,03/12/2015,AMT,PURCHASE
258.4,1008,20,96.97,1939.4,5168,3228.6,10/20/2015,AMT,PURCHASE
258.4,1009,22,97.65,2148.24,5684.8,3536.56,11/12/2015,AMT,GIFT
213.23,1011,25,10.05,251.32,5330.75,5079.43,04/15/1994,ADP,
213.23,1012,35,10.05,351.85,7463.05,7111.2,04/15/1994,ADP,GIFT
94.25,1018,140,26.65,3730.34,13195,9464.66,10/19/2012,CHD,PURCHASE
94.25,1077,58,26.65,1545.43,5466.5,3921.07,10/19/2012,CHD,GIFT
258.05,1019,82,32.92,2699.39,21160.1,18460.71,09/08/2011,DHR,GIFT
258.05,1069,43,32.92,1415.54,11096.15,9680.61,09/08/2011,DHR,GIFT
258.05,1020,55,39.89,2193.95,14192.75,11998.8,07/30/2012,DHR,PURCHASE
97.39,1073,125,79.87,9984.34,12173.75,2189.41,11/11/2020,EW,PURCHASE
160.03,1081,20,327.96,6559.2,3200.6,-3358.6,05/26/2021,META,PURCHASE
92.58,1030,154,11.52,1774.31,14257.32,12483.01,02/12/2010,FI,GIFT
92.58,1031,101,12.42,1254.6,9350.58,8095.98,05/14/2010,FI,
388.31,1036,76,60.86,4625.62,29511.56,24885.94,10/19/2012,INTU,PURCHASE
215.05,1082,20,245.42,4908.32,4301,-607.32,07/15/2021,IQV,PURCHASE
318.24,1037,131,23.11,3027.62,41689.44,38661.82,01/20/2011,MA,PURCHASE
259.58,1041,100,25.84,2584,25958,23374,05/08/2003,MSFT,
259.58,1042,50,101.16,5058,12979,7921,06/15/2018,MSFT,PURCHASE
291.17,1047,65,39.44,2563.59,18926.05,16362.46,05/11/2016,PAYC,PURCHASE
71.4,1074,50,192.62,9630.88,3570,-6060.88,11/11/2020,PYPL,PURCHASE
400.67,1065,25,372.29,9307.35,10016.75,709.4,01/14/2020,ROP,PURCHASE
168.2,1067,55,182.58,10041.8,9251,-790.8,01/14/2020,CRM,PURCHASE
484.36,1072,15,375.67,5635,7265.4,1630.4,06/11/2020,NOW,PURCHASE
484.36,1080,10,498.97,4989.68,4843.6,-146.08,03/11/2021,NOW,PURCHASE
79.26,1048,175,38.40,6719.96,13870.5,7150.54,06/23/2014,SBUX,PURCHASE
203.86,1050,114,18.46,2104.58,23240.04,21135.46,05/11/2000,SYK,GIFT
203.86,1078,18,18.46,332.31,3669.48,3337.17,05/11/2000,SYK,GIFT
203.86,1051,36,43.50,1566,7338.96,5772.96,05/15/2006,SYK,
56.04,1052,289,12.85,3713.6,16195.56,12481.96,04/15/2011,TJX,PURCHASE
548.27,1079,20,497.24,9944.78,10965.4,1020.62,02/09/2021,TMO,PURCHASE
215.26,1055,35,100.63,3522.05,7534.1,4012.05,06/23/2014,UNP,PURCHASE
113.19,1015,71,23.80,1690.03,8036.49,6346.46,07/10/2008,CNI,GIFT
113.19,1016,36,18.24,656.8,4074.84,3418.04,07/10/2008,CNI,GIFT
113.19,1017,25,50.97,1274.25,2829.75,1555.5,07/18/2013,CNI,PURCHASE
72.6062,1061,30,53.87,1616.05,2178.19,562.14,08/06/2007,HKHHF,
72.6062,1062,180,29.05,5228.39,13069.11,7840.72,01/02/2009,HKHHF,GIFT
72.6062,1063,40,50.75,2029.98,2904.25,874.27,04/18/2011,HKHHF,PURCHASE
146.09,1064,70,23.54,1647.5,10226.3,8578.8,06/22/2011,NXPI,PURCHASE


""


