Tax Lot Detail
As of Date:   04/01/2022
Position Type:    Traded

UNITPRICE,TAXLOT,UNITS,UNITCOST,COST,MARKETVALUE,UNREALIZEDGAINLOSS,ACQUIRED,TICKER,HOWACQUIRED
118.58,1001,65,23.03,1497.06,7707.7,6210.64,05/14/2010,ABT,
118.58,1002,60,34.51,2070.59,7114.8,5044.21,03/15/2013,ABT,PURCHASE
118.58,1003,125,42.06,5257.3,14822.5,9565.2,10/20/2015,ABT,PURCHASE
458.19,1066,30,345.97,10379.1,13745.7,3366.6,01/14/2020,ADBE,PURCHASE
2803.01,1004,10,840.43,8404.26,28030.1,19625.84,02/14/2017,GOOGL,PURCHASE
3271.2,1005,5,1848.35,9241.77,16356,7114.23,04/12/2019,AMZN,PURCHASE
3271.2,1068,3,1865.99,5597.96,9813.6,4215.64,01/14/2020,AMZN,PURCHASE
256.95,1006,50,95.74,4787,12847.5,8060.5,10/10/2014,AMT,PURCHASE
256.95,1007,40,96.05,3842.04,10278,6435.96,03/12/2015,AMT,PURCHASE
256.95,1008,20,96.97,1939.4,5139,3199.6,10/20/2015,AMT,PURCHASE
256.95,1009,22,97.65,2148.24,5652.9,3504.66,11/12/2015,AMT,GIFT
233.5,1011,25,10.05,251.32,5837.5,5586.18,04/15/1994,ADP,
233.5,1012,35,10.05,351.85,8172.5,7820.65,04/15/1994,ADP,GIFT
101.36,1018,140,26.65,3730.34,14190.4,10460.06,10/19/2012,CHD,PURCHASE
101.36,1077,58,26.65,1545.43,5878.88,4333.45,10/19/2012,CHD,GIFT
291.69,1019,82,32.92,2699.39,23918.58,21219.19,09/08/2011,DHR,GIFT
291.69,1069,43,32.92,1415.54,12542.67,11127.13,09/08/2011,DHR,GIFT
291.69,1020,55,39.89,2193.95,16042.95,13849,07/30/2012,DHR,PURCHASE
123.07,1073,125,79.87,9984.34,15383.75,5399.41,11/11/2020,EW,PURCHASE
224.85,1081,20,327.96,6559.2,4497,-2062.2,05/26/2021,META,PURCHASE
102.99,1030,154,11.52,1774.31,15860.46,14086.15,02/12/2010,FI,GIFT
102.99,1031,101,12.42,1254.6,10401.99,9147.39,05/14/2010,FI,
483.93,1036,76,60.86,4625.62,36778.68,32153.06,10/19/2012,INTU,PURCHASE
240.31,1082,20,245.42,4908.32,4806.2,-102.12,07/15/2021,IQV,PURCHASE
363.97,1037,131,23.11,3027.62,47680.07,44652.45,01/20/2011,MA,PURCHASE
309.42,1041,100,25.84,2584,30942,28358,05/08/2003,MSFT,
309.42,1042,50,101.16,5058,15471,10413,06/15/2018,MSFT,PURCHASE
350.98,1047,65,39.44,2563.59,22813.7,20250.11,05/11/2016,PAYC,PURCHASE
116.67,1074,50,192.62,9630.88,5833.5,-3797.38,11/11/2020,PYPL,PURCHASE
476.95,1065,25,372.29,9307.35,11923.75,2616.4,01/14/2020,ROP,PURCHASE
212.25,1067,55,182.58,10041.8,11673.75,1631.95,01/14/2020,CRM,PURCHASE
548.69,1072,15,375.67,5635,8230.35,2595.35,06/11/2020,NOW,PURCHASE
548.69,1080,10,498.97,4989.68,5486.9,497.22,03/11/2021,NOW,PURCHASE
91.49,1048,175,38.40,6719.96,16010.75,9290.79,06/23/2014,SBUX,PURCHASE
269.05,1050,114,18.46,2104.58,30671.7,28567.12,05/11/2000,SYK,GIFT
269.05,1078,18,18.46,332.31,4842.9,4510.59,05/11/2000,SYK,GIFT
269.05,1051,36,43.50,1566,9685.8,8119.8,05/15/2006,SYK,
60.89,1052,289,12.85,3713.6,17597.21,13883.61,04/15/2011,TJX,PURCHASE
592.34,1079,20,497.24,9944.78,11846.8,1902.02,02/09/2021,TMO,PURCHASE
259.96,1055,35,100.63,3522.05,9098.6,5576.55,06/23/2014,UNP,PURCHASE
127.81,1015,71,23.80,1690.03,9074.51,7384.48,07/10/2008,CNI,GIFT
127.81,1016,36,18.24,656.8,4601.16,3944.36,07/10/2008,CNI,GIFT
127.81,1017,25,50.97,1274.25,3195.25,1921,07/18/2013,CNI,PURCHASE
78.2492,1061,30,53.87,1616.05,2347.48,731.43,08/06/2007,HKHHF,
78.2492,1062,180,29.05,5228.39,14084.85,8856.46,01/02/2009,HKHHF,GIFT
78.2492,1063,40,50.75,2029.98,3129.97,1099.99,04/18/2011,HKHHF,PURCHASE
182.02,1064,70,23.54,1647.5,12741.4,11093.9,06/22/2011,NXPI,PURCHASE


""


