Tax Lot Detail
As of Date:   04/01/2023
Position Type:    Traded

UNITPRICE,TAXLOT,UNITS,UNITCOST,COST,MARKETVALUE,UNREALIZEDGAINLOSS,ACQUIRED,TICKER,HOWACQUIRED
101.26,1001,65,23.03,1497.06,6581.9,5084.84,05/14/2010,ABT,
101.26,1002,60,34.51,2070.59,6075.6,4005.01,03/15/2013,ABT,PURCHASE
101.26,1003,122,42.06,5131.12,12353.72,7222.6,10/20/2015,ABT,PURCHASE
385.37,1066,30,345.97,10379.1,11561.1,1182,01/14/2020,ADBE,PURCHASE
103.73,1004,200,42.02,8404.26,20746,12341.74,02/14/2017,GOOGL,PURCHASE
103.29,1005,100,92.42,9241.77,10329,1087.23,04/12/2019,AMZN,PURCHASE
103.29,1068,60,93.30,5597.96,6197.4,599.44,01/14/2020,AMZN,PURCHASE
204.34,1006,50,95.74,4787,10217,5430,10/10/2014,AMT,PURCHASE
204.34,1007,40,96.05,3842.04,8173.6,4331.56,03/12/2015,AMT,PURCHASE
204.34,1008,20,96.97,1939.4,4086.8,2147.4,10/20/2015,AMT,PURCHASE
204.34,1009,22,97.65,2148.24,4495.48,2347.24,11/12/2015,AMT,GIFT
222.63,1011,25,10.05,251.32,5565.75,5314.43,04/15/1994,ADP,
222.63,1012,35,10.05,351.85,7792.05,7440.2,04/15/1994,ADP,GIFT
88.41,1018,140,26.65,3730.34,12377.4,8647.06,10/19/2012,CHD,PURCHASE
88.41,1077,58,26.65,1545.43,5127.78,3582.35,10/19/2012,CHD,GIFT
252.04,1019,82,32.92,2699.39,20667.28,17967.89,09/08/2011,DHR,GIFT
252.04,1069,43,32.92,1415.54,10837.72,9422.18,09/08/2011,DHR,GIFT
252.04,1020,34,39.89,1356.26,8569.36,7213.1,07/30/2012,DHR,PURCHASE
82.73,1073,125,79.87,9984.34,10341.25,356.91,11/11/2020,EW,PURCHASE
113.03,1030,154,11.52,1774.31,17406.62,15632.31,02/12/2010,FI,GIFT
113.03,1031,101,12.42,1254.6,11416.03,10161.43,05/14/2010,FI,
445.83,1036,76,60.86,4625.62,33883.08,29257.46,10/19/2012,INTU,PURCHASE
198.89,1082,20,245.42,4908.32,3977.8,-930.52,07/15/2021,IQV,PURCHASE
363.41,1037,131,23.11,3027.62,47606.71,44579.09,01/20/2011,MA,PURCHASE
288.3,1041,100,25.84,2584,28830,26246,05/08/2003,MSFT,
288.3,1042,50,101.16,5058,14415,9357,06/15/2018,MSFT,PURCHASE
304.01,1047,65,39.44,2563.59,19760.65,17197.06,05/11/2016,PAYC,PURCHASE
440.69,1065,25,372.29,9307.35,11017.25,1709.9,01/14/2020,ROP,PURCHASE
464.72,1072,15,375.67,5635,6970.8,1335.8,06/11/2020,NOW,PURCHASE
464.72,1080,10,498.97,4989.68,4647.2,-342.48,03/11/2021,NOW,PURCHASE
285.47,1050,114,18.46,2104.58,32543.58,30439,05/11/2000,SYK,GIFT
285.47,1078,18,18.46,332.31,5138.46,4806.15,05/11/2000,SYK,GIFT
285.47,1051,34,43.50,1479,9705.98,8226.98,05/15/2006,SYK,
78.36,1052,289,12.85,3713.6,22646.04,18932.44,04/15/2011,TJX,PURCHASE
576.37,1079,20,497.24,9944.78,11527.4,1582.62,02/09/2021,TMO,PURCHASE
201.26,1055,35,100.63,3522.05,7044.1,3522.05,06/23/2014,UNP,PURCHASE
117.97,1015,71,23.80,1690.03,8375.87,6685.84,07/10/2008,CNI,GIFT
117.97,1016,36,18.24,656.8,4246.92,3590.12,07/10/2008,CNI,GIFT
117.97,1017,25,50.97,1274.25,2949.25,1675,07/18/2013,CNI,PURCHASE
91.8592,1061,23,53.87,1238.97,2112.76,873.79,08/06/2007,HKHHF,
91.8592,1062,180,29.05,5228.39,16534.66,11306.27,01/02/2009,HKHHF,GIFT
91.8592,1063,40,50.75,2029.98,3674.37,1644.39,04/18/2011,HKHHF,PURCHASE
186.475,1064,70,23.54,1647.5,13053.25,11405.75,06/22/2011,NXPI,PURCHASE


""


